epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_f1,val_f1,train_precision,val_precision,train_recall,val_recall,learning_rate,timestamp
1,1.2997371838851408,3.5294249607966495,51.96568977841315,13.25,51.706578886315256,13.200871228230799,51.93697625202917,18.136050307314232,52.412091618315436,16.43017819539559,9.755282581475769e-05,2025-10-05T18:05:36.519154
2,1.5961595760150389,2.8241767699901876,37.74124374553252,17.5,35.99938813847596,15.33912494547173,35.971917839996955,17.747532157655822,37.752777865764116,18.801753345956246,9.045084971874738e-05,2025-10-05T18:07:03.712333
3,1.5465601018883965,2.856816603587224,37.95568263045032,17.25,35.49299432916773,15.503218895670734,35.50512548959169,17.153778098240853,37.57332029918169,19.450462889231,7.938926261462366e-05,2025-10-05T18:08:48.715010
4,1.489025894891132,3.0443787574768066,40.17155110793424,17.5,38.55475827501261,15.352975358667049,39.208487491284565,17.670648137441308,40.11792592464008,18.9308484188919,6.545084971874738e-05,2025-10-05T18:10:41.842027
5,1.3661519641225988,2.975321347896869,44.81772694781987,17.0,42.75305352231234,15.85989754606737,43.22997854531884,17.60650755815945,44.45157717178642,17.910311414296924,5e-05,2025-10-05T18:12:18.070400
